#q 	 Iexp 	 Ifit_avg 	 Residuals_avg 	 Ifit_weightedavg 	 Residuals_weightedavg 
7.886600e-02 	7.279000e-05 	6.336269e-05 	4.471132e+00 	7.049117e-05 	1.090276e+00 
7.916600e-02 	7.430000e-05 	6.275946e-05 	5.521779e+00 	6.982762e-05 	2.139890e+00 
7.946600e-02 	7.232000e-05 	6.216450e-05 	4.773597e+00 	6.917218e-05 	1.479632e+00 
7.976600e-02 	7.443000e-05 	6.157769e-05 	6.134425e+00 	6.852466e-05 	2.818626e+00 
8.006500e-02 	6.903000e-05 	6.099891e-05 	3.795502e+00 	6.788500e-05 	5.411288e-01 
8.036500e-02 	6.761000e-05 	6.042809e-05 	3.405247e+00 	6.725308e-05 	1.692310e-01 
8.066500e-02 	7.019000e-05 	5.986508e-05 	4.870528e+00 	6.662879e-05 	1.679915e+00 
8.096500e-02 	6.692000e-05 	5.930989e-05 	3.269945e+00 	6.601215e-05 	3.900880e-01 
8.126500e-02 	6.819000e-05 	5.876236e-05 	4.048634e+00 	6.540300e-05 	1.196857e+00 
8.156500e-02 	7.099000e-05 	5.822236e-05 	5.748731e+00 	6.480123e-05 	2.786543e+00 
8.186400e-02 	6.684000e-05 	5.768979e-05 	4.049288e+00 	6.420666e-05 	1.165345e+00 
8.216400e-02 	6.865000e-05 	5.716475e-05 	5.029472e+00 	6.361954e-05 	2.202874e+00 
8.246400e-02 	6.687000e-05 	5.664692e-05 	4.592945e+00 	6.303948e-05 	1.720947e+00 
8.276400e-02 	6.657000e-05 	5.613630e-05 	4.745438e+00 	6.246649e-05 	1.866352e+00 
8.306400e-02 	6.012000e-05 	5.563275e-05 	2.141486e+00 	6.190045e-05 	-8.496971e-01 
8.336400e-02 	6.367000e-05 	5.513628e-05 	3.850797e+00 	6.134130e-05 	1.050811e+00 
8.366300e-02 	6.132000e-05 	5.464665e-05 	3.028038e+00 	6.078894e-05 	2.409670e-01 
8.396300e-02 	6.450000e-05 	5.416385e-05 	4.488096e+00 	6.024333e-05 	1.848305e+00 
8.426300e-02 	6.591000e-05 	5.368782e-05 	5.914135e+00 	5.970430e-05 	3.002849e+00 
8.456300e-02 	6.303000e-05 	5.321837e-05 	4.726039e+00 	5.917183e-05 	1.858391e+00 
8.486300e-02 	6.346000e-05 	5.275543e-05 	4.978880e+00 	5.864575e-05 	2.239190e+00 
8.516300e-02 	6.131000e-05 	5.229898e-05 	4.165920e+00 	5.812603e-05 	1.471992e+00 
8.546200e-02 	5.654000e-05 	5.184887e-05 	2.399151e+00 	5.761265e-05 	-5.485790e-01 
8.576200e-02 	5.935000e-05 	5.140499e-05 	3.912509e+00 	5.710539e-05 	1.105353e+00 
8.606200e-02 	5.803000e-05 	5.096731e-05 	3.496347e+00 	5.660429e-05 	7.057919e-01 
8.636200e-02 	5.792000e-05 	5.053569e-05 	3.782952e+00 	5.610921e-05 	9.276604e-01 
8.666200e-02 	6.181000e-05 	5.011017e-05 	5.840459e+00 	5.562014e-05 	3.089925e+00 
8.696100e-02 	6.105000e-05 	4.969048e-05 	5.803198e+00 	5.513694e-05 	3.020783e+00 
8.726100e-02 	5.905000e-05 	4.927674e-05 	5.187064e+00 	5.465957e-05 	2.330180e+00 
8.756100e-02 	5.484000e-05 	4.886882e-05 	3.206089e+00 	5.418808e-05 	3.500314e-01 
8.786100e-02 	5.531000e-05 	4.846663e-05 	3.620602e+00 	5.372225e-05 	8.400261e-01 
8.816100e-02 	5.600000e-05 	4.807007e-05 	4.063901e+00 	5.326208e-05 	1.403118e+00 
